  weak-norm-closed-ideal.bel#weakNorm   600 calls  106 chars  -> FAIL   File "input.bel", line 87, column 29 Error: Type-checking error.
  weak-norm-closed-ideal.bel#haltsMstep no proof found (calls=266)
  weak-norm-total-mix-lf-inductive.bel#lookup no proof found (calls=82)
  algeq-typing.bel#thm               no proof found (calls=undefined)
  weak-norm-total-mix-lf-inductive.bel#bwd_closed' no proof found (calls=125)
  weak-norm-total-mix-lf-inductive.bel#weakNorm no proof found (calls=39)
  algeq-typing.bel#main              no proof found (calls=undefined)
  weak-norm-total-products-explicit-typing.bel#bwd_closed no proof found (calls=107)
  weak-norm-total-mix-lf-inductive.bel#main no proof found (calls=113)
  weak-norm-total-products-explicit-typing.bel#weakNorm no proof found (calls=62)
  weak-norm-total-products.bel#bwd_closed' no proof found (calls=141)
  weak-norm-total-products.bel#bwd_closed no proof found (calls=106)
  weak-norm-total-products.bel#lookup no proof found (calls=108)
  weak-norm-total-products-explicit-typing.bel#lookup no proof found (calls=63)
  weak-norm-total-products-explicit-typing.bel#pair_halts no proof found (calls=3118)
  weak-norm-total-products-explicit-typing.bel#main no proof found (calls=175)
  weak-norm-total-products.bel#weakNorm   260 calls  106 chars  -> FAIL   File "input.bel", line 177, column 29 Error: Type-checking error.
  weak-norm-total.bel#bwd_closed'    no proof found (calls=121)
  weak-norm-total.bel#bwd_closed     no proof found (calls=75)
  weak-norm-total.bel#lookup         no proof found (calls=94)
  weak-norm-total.bel#main           no proof found (calls=133)
  weak-norm-total-products.bel#pair_halts no proof found (calls=2609)
  weak-norm-total.bel#weakNorm         223 calls  106 chars  -> FAIL   File "input.bel", line 97, column 29 Error: Type-checking error.
  weak-norm-total-products.bel#trans no proof found (calls=599)
  weak-norm-under-binders-beta-only.bel#m_lam no proof found (calls=60)
  weak-norm-under-binders-beta-only.bel#reflect no proof found (calls=104)
  weak-norm-under-binders-beta-only.bel#m_closed no proof found (calls=447)
  weak-norm-under-binders-beta-only.bel#closed no proof found (calls=104)
  weak-norm-total-products.bel#main  no proof found (calls=149)
  weak-norm-under-binders-beta-only.bel#redVar no proof found (calls=105)
  weak-norm-under-binders-beta-only.bel#idLogSub no proof found (calls=38)
  weak-norm-under-binders-beta-only.bel#weakNorm no proof found (calls=29)
  weak-norm-under-binders-beta-only.bel#monotone no proof found (calls=53)
  weak-norm-under-binders-beta-only.bel#eval no proof found (calls=47)
  weak-norm-under-binders-simplified.bel#m_lam no proof found (calls=150)
  weak-norm-under-binders-simplified.bel#m_closed no proof found (calls=483)
  weak-norm-under-binders-simplified.bel#closed no proof found (calls=121)
  weak-norm-under-binders-simplified.bel#reflect no proof found (calls=141)
